F : A
0 : 0.8707463984841605 
1 : 0.9980452127294885 
3 : 0.8135337539965609 
11 : 0.8133943179554379 
2 : 0.9592197250080494 
12 : 0.9912948949896312 
6 : 0.7338520039356986 
4 : 0.8337610240403222 
5 : 0.7242276612238935 
8 : 0.9554066780876301 
10 : 0.9140529794931556 
7 : 0.3817368567782653 
9 : 0.8105008543555268 
